 160	  11.01.2020	  02:28:11	    temperatur	  24.100000381469727	    feuchtigkeit	  43.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 161	  11.01.2020	  02:29:11	    temperatur	  24.200000762939453	    feuchtigkeit	  43.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 162	  11.01.2020	  02:30:12	    temperatur	  24.100000381469727	    feuchtigkeit	  43.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 163	  11.01.2020	  02:31:12	    temperatur	  24.100000381469727	    feuchtigkeit	  43.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 164	  11.01.2020	  02:32:13	    temperatur	  24.100000381469727	    feuchtigkeit	  43.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 165	  11.01.2020	  02:33:14	    temperatur	  24.100000381469727	    feuchtigkeit	  43.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 166	  11.01.2020	  02:34:14	    temperatur	  24.100000381469727	    feuchtigkeit	  43.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 167	  11.01.2020	  02:35:15	    temperatur	  24.100000381469727	    feuchtigkeit	  43.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 168	  11.01.2020	  02:36:15	    temperatur	  24.100000381469727	    feuchtigkeit	  43.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 169	  11.01.2020	  02:37:19	    temperatur	  24.100000381469727	    feuchtigkeit	  43.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 170	  11.01.2020	  02:38:19	    temperatur	  24.100000381469727	    feuchtigkeit	  43.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 171	  11.01.2020	  02:39:20	    temperatur	  24.100000381469727	    feuchtigkeit	  43.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
